"Species","Type","dN/dS","Ensembl identifier & gene name","Compare","Location","Target %id","Query %id"
"Amborella trichopoda","Many-to-many","n/a","AMTR_s00057p00215390hypothetical protein","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","AmTr_v1.0_scaffold00057:4261624-4262748:1","82","78"
"Amborella trichopoda","Many-to-many","n/a","AMTR_s00168p00048800hypothetical protein","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","AmTr_v1.0_scaffold00168:446625-447876:-1","80","76"
"Arabidopsis lyrata","Many-to-many","n/a","fgenesh1_pg.C_scaffold_8001991Histone H2A  [Source: UniProtKB/TrEMBL; acc: D7MT38]","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","8:19309388-19309925:-1","77","73"
"Arabidopsis lyrata","Many-to-many","n/a","fgenesh1_pg.C_scaffold_8001992Histone H2A  [Source: UniProtKB/TrEMBL; acc: D7MT39]","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","8:19311382-19311913:-1","78","74"
"Arabidopsis thaliana","Many-to-many","n/a","AT5G02560HTA12 histone H2A 12 [Source: TAIR_LOCUS; acc: AT5G02560]","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","5:575382-576606:1","70","79"
"Arabidopsis thaliana","Many-to-many","n/a","AT5G59870HTA6 histone H2A 6 [Source: TAIR_LOCUS; acc: AT5G59870]","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","5:24115381-24116220:-1","75","72"
"Brassica oleracea","Many-to-many","n/a","Bo2g002630No description","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","C2:469323-470181:1","71","63"
"Brassica oleracea","Many-to-many","n/a","Bo2g025290No description","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","C2:7586501-7587030:1","77","73"
"Brassica oleracea","Many-to-many","n/a","Bo3g017690No description","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","C3:5805390-5806007:1","63","73"
"Brassica oleracea","Many-to-many","n/a","Bo9g140890No description","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","C9:42828026-42828550:-1","78","74"
"Brassica rapa","Many-to-many","n/a","Bra002523AT5G59870 (E=6e-053) HTA6 | HTA6; DNA binding ","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","A10:9061031-9061551:-1","77","73"
"Brassica rapa","Many-to-many","n/a","Bra006688AT5G59870 (E=6e-054) HTA6 | HTA6; DNA binding ","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","A03:4634530-4635051:1","78","74"
"Brassica rapa","Many-to-many","n/a","Bra020278AT5G59870 (E=9e-032) HTA6 | HTA6; DNA binding ","Region ComparisonAlignment (protein)Alignment (cDNA)Gene Tree (image)","A02:6001797-6002331:1","77","62"
